X,Y,OBJECTID,asset_id,system_type,invert_level_nzvd2016,invert_level_wgtn1953,chamber_floor_depth,cover_level_nzvd2016,cover_level_wgtn1953,node_type,manhole_type,status,location,kcdc_histo_id,year_installed
1781940.238,5485315.8235,13010843,KWWN000514,Wastewater,9.79,10.17,3.53,13.32,13.7,WWMH,,INUS,Otaki,OSM00806,1978
1775175.322,5473937.5965,13010844,KWWN000935,Wastewater,59.24,59.59,0.3,59.54,59.89,WWMH,,INUS,Waikanae,WSM00004,1978
1778692.649,5488107.1215,13010845,KWWN000478,Wastewater,1.09,1.46,2.2,3.29,3.66,WWMH,,INUS,Otaki,OSM00677,1978
1780842.946,5485419.0505,13010846,KWWN000247,Wastewater,8,8.37,0.78,8.77,9.14,WWMH,,INUS,Otaki,OSM00590,1978
1778833.752,5487655.8965,13010847,KWWN000218,Wastewater,1.28,1.66,1.24,2.52,2.9,WWMH,,INUS,Otaki,OSM00686,1978
1782497.671,5485922.8515,13010848,KWWN000760,Wastewater,24.76,25.14,1.35,26.11,26.49,WWMH,,INUS,Otaki,OSM00430,1978
1769269.326,5473613.1335,13010849,KWWN000830,Wastewater,2.85,3.21,1.92,4.77,5.13,WWMH,,INUS,Waikanae,WSM00847,1975
1770013.879,5474136.9765,13010850,KWWN000930,Wastewater,4.98,5.34,1.86,6.84,7.2,WWMH,,INUS,Waikanae,WSM01023,1979
1778127.281,5486997.8205,13010851,KWWN000016,Wastewater,2.18,2.55,1.06,3.24,3.61,WWMH,,INUS,Otaki,OSM00700,1977
1780197.598,5486460.2165,13010852,KWWN000137,Wastewater,4,4.37,1.33,5.33,5.7,WWMH,,INUS,Otaki,OSM00205,1977
1769648.374,5473286.3155,13010853,KWWN000888,Wastewater,4.9,5.25,1.13,6.03,6.38,WWMH,,INUS,Waikanae,WSM00910,1985
1782059.173,5485661.9015,13010854,KWWN000735,Wastewater,9.51,9.89,2.75,12.26,12.64,WWMH,,INUS,Otaki,OSM00454,1978
1779683.545,5486349.3205,13010855,KWWN000130,Wastewater,1.96,2.33,2.8,4.76,5.13,WWMH,,INUS,Otaki,OSM00201,1977
