Geo Point;Geo Shape;NUMERO;TYPE;TYPE_TAMPON;ZSURF;Z_FE_ENTREE1
47.4816877494, -0.6711918396;"{""coordinates"": [-0.6711918396, 47.4816877494], ""type"": ""Point""}";2083310;SIMPLE;ROND;57.88;55.86
47.481995014, -0.6705849312;"{""coordinates"": [-0.6705849312, 47.481995014], ""type"": ""Point""}";2083309;SIMPLE;ROND;57.46;56.13
47.4708540142, -0.5054698391;"{""coordinates"": [-0.5054698391, 47.4708540142], ""type"": ""Point""}";2083259;SIMPLE;ROND;43.8;42.46
47.4708332848, -0.5052095264;"{""coordinates"": [-0.5052095264, 47.4708332848], ""type"": ""Point""}";2083258;SIMPLE;ROND;43.68;42.55
47.4712566584, -0.5046456262;"{""coordinates"": [-0.5046456262, 47.4712566584], ""type"": ""Point""}";2083257;SIMPLE;ROND;43.33;42.14
47.4712354514, -0.5051722096;"{""coordinates"": [-0.5051722096, 47.4712354514], ""type"": ""Point""}";2083256;SIMPLE;ROND;43.42;42.21
47.4712407733, -0.5052608682;"{""coordinates"": [-0.5052608682, 47.4712407733], ""type"": ""Point""}";2083255;SIMPLE;ROND;43.48;42.23
47.4712573419, -0.5057115985;"{""coordinates"": [-0.5057115985, 47.4712573419], ""type"": ""Point""}";2083254;SIMPLE;ROND;43.59;42.42
47.4712626269, -0.5061424618;"{""coordinates"": [-0.5061424618, 47.4712626269], ""type"": ""Point""}";2083253;SIMPLE;ROND;43.87;42.71
47.4712444991, -0.5066652648;"{""coordinates"": [-0.5066652648, 47.4712444991], ""type"": ""Point""}";2083252;SIMPLE;ROND;44.13;42.94
47.4712174375, -0.5070433972;"{""coordinates"": [-0.5070433972, 47.4712174375], ""type"": ""Point""}";2083251;SIMPLE;ROND;44.31;43.01
47.4711896472, -0.5072913442;"{""coordinates"": [-0.5072913442, 47.4711896472], ""type"": ""Point""}";2083250;SIMPLE;ROND;44.43;43.24
47.4710928125, -0.507944792;"{""coordinates"": [-0.507944792, 47.4710928125], ""type"": ""Point""}";2083249;SIMPLE;ROND;44.72;43.5
47.4713271032, -0.5041253471;"{""coordinates"": [-0.5041253471, 47.4713271032], ""type"": ""Point""}";2083223;SIMPLE;ROND;43.21;42.02
47.4713923954, -0.5036056562;"{""coordinates"": [-0.5036056562, 47.4713923954], ""type"": ""Point""}";2083221;SIMPLE;ROND;43.08;41.86
47.4714860946, -0.502980542;"{""coordinates"": [-0.502980542, 47.4714860946], ""type"": ""Point""}";2083214;SIMPLE;ROND;42.78;41.71
47.4714589276, -0.5031043714;"{""coordinates"": [-0.5031043714, 47.4714589276], ""type"": ""Point""}";2083213;SIMPLE;ROND;42.94;41.74
47.4714368476, -0.5030278862;"{""coordinates"": [-0.5030278862, 47.4714368476], ""type"": ""Point""}";2083212;SIMPLE;ROND;42.91;41.73
47.4712646198, -0.502997664;"{""coordinates"": [-0.502997664, 47.4712646198], ""type"": ""Point""}";2083211;SIMPLE;ROND;43.05;41.82
47.4704377451, -0.5026876089;"{""coordinates"": [-0.5026876089, 47.4704377451], ""type"": ""Point""}";2083207;SIMPLE;ROND;43.43;42.16
47.4703250761, -0.5025995708;"{""coordinates"": [-0.5025995708, 47.4703250761], ""type"": ""Point""}";2083204;SIMPLE;ROND;43.61;42.31
47.470388419, -0.5025624525;"{""coordinates"": [-0.5025624525, 47.470388419], ""type"": ""Point""}";2083202;SIMPLE;ROND;43.55;42.28
47.4703550691, -0.5025012931;"{""coordinates"": [-0.5025012931, 47.4703550691], ""type"": ""Point""}";2083201;SIMPLE;ROND;43.91;42.39
47.4700965791, -0.5025721444;"{""coordinates"": [-0.5025721444, 47.4700965791], ""type"": ""Point""}";2083200;SIMPLE;ROND;44.21;42.93
47.4698305449, -0.5026423645;"{""coordinates"": [-0.5026423645, 47.4698305449], ""type"": ""Point""}";2083199;SIMPLE;ROND;44.61;43.47
47.4695633505, -0.5027122416;"{""coordinates"": [-0.5027122416, 47.4695633505], ""type"": ""Point""}";2083198;SIMPLE;ROND;45.15;44.04
47.4693135844, -0.5027745042;"{""coordinates"": [-0.5027745042, 47.4693135844], ""type"": ""Point""}";2083197;SIMPLE;ROND;45.7;44.49
47.4702358712, -0.5034890878;"{""coordinates"": [-0.5034890878, 47.4702358712], ""type"": ""Point""}";2083169;SIMPLE;ROND;44.15;42.51
47.4701323517, -0.5032211908;"{""coordinates"": [-0.5032211908, 47.4701323517], ""type"": ""Point""}";2083155;SIMPLE;ROND;44.25;42.46
47.4701215761, -0.5031935234;"{""coordinates"": [-0.5031935234, 47.4701215761], ""type"": ""Point""}";2083152;SIMPLE;ROND;44.25;42.65
47.4694962713, -0.5033562201;"{""coordinates"": [-0.5033562201, 47.4694962713], ""type"": ""Point""}";2083151;SIMPLE;ROND;44.82;43.67
47.4704109014, -0.5039343336;"{""coordinates"": [-0.5039343336, 47.4704109014], ""type"": ""Point""}";2083142;SIMPLE;ROND;43.98;42.6
47.4698472582, -0.5044386428;"{""coordinates"": [-0.5044386428, 47.4698472582], ""type"": ""Point""}";2083130;SIMPLE;ROND;44.59;43.05
47.469630993, -0.5040082062;"{""coordinates"": [-0.5040082062, 47.469630993], ""type"": ""Point""}";2083129;SIMPLE;ROND;44.69;43.63
