Geo Point;Geo Shape;NUMERO;TYPE;TYPE_RES;DIAMETRE;MATERIAU;LONGUEUR;ZAMONT;ZAVAL
47.495325320000006, -0.43216028500000003;"{""coordinates"": [[-0.43210311, 47.4954704], [-0.43221746, 47.49518024]], ""type"": ""LineString""}";1065283;C;CANALISATION;500;NC;33.39;34.11;34
47.49605206, -0.432490995;"{""coordinates"": [[-0.43248491, 47.49605967], [-0.43249708, 47.49604445]], ""type"": ""LineString""}";1065284;C;CANALISATION;0;NC;1.92;0;33.3
47.496039644999996, -0.43249677000000003;"{""coordinates"": [[-0.43249646, 47.49603484], [-0.43249708, 47.49604445]], ""type"": ""LineString""}";1065285;C;CANALISATION;0;NC;1.07;0;33.35
47.497746955, -0.42607662;"{""coordinates"": [[-0.42594965, 47.49760455], [-0.42620359, 47.49788936]], ""type"": ""LineString""}";1065286;C;CANALISATION;200;NC;37;36;35.75
47.50113957677744, -0.4289060707794639;"{""coordinates"": [[-0.42904262, 47.50100692], [-0.42879712, 47.50124794], [-0.42876053, 47.50125523]], ""type"": ""LineString""}";1065287;C;CANALISATION;500;NC;35.42;34.43;0
47.496373155, -0.434513555;"{""coordinates"": [[-0.43451665, 47.49638499], [-0.43451046, 47.49636132]], ""type"": ""LineString""}";1065288;C;CANALISATION;0;NC;2.67;0;0
47.49547485, -0.43546678;"{""coordinates"": [[-0.43498789, 47.4954393], [-0.43594567, 47.4955104]], ""type"": ""LineString""}";1065289;C;CANALISATION;700;BETON;72.6;31.2;30.481
47.495470780000005, -0.43493745;"{""coordinates"": [[-0.43488701, 47.49550226], [-0.43498789, 47.4954393]], ""type"": ""LineString""}";1065290;C;CANALISATION;600;BETON;10.33;32.337;31.993
47.49617974, -0.43502897999999995;"{""coordinates"": [[-0.4350324, 47.49618851], [-0.43502556, 47.49617097]], ""type"": ""LineString""}";1065291;C;CANALISATION;0;NC;2.01;0;0
47.4972945, -0.43568763;"{""coordinates"": [[-0.43568193, 47.49732542], [-0.43569333, 47.49726358]], ""type"": ""LineString""}";1065292;C;CANALISATION;0;NC;6.93;0;32.41
47.497160029999996, -0.43524130499999997;"{""coordinates"": [[-0.43522121, 47.49714924], [-0.4352614, 47.49717082]], ""type"": ""LineString""}";1065293;C;CANALISATION;0;NC;3.87;0;33.21
47.49721720000001, -0.435477365;"{""coordinates"": [[-0.4352614, 47.49717082], [-0.43569333, 47.49726358]], ""type"": ""LineString""}";1065294;C;CANALISATION;600;NC;34.14;31.87;31.62
47.49684611, -0.43525073999999997;"{""coordinates"": [[-0.43527272, 47.49683474], [-0.43522876, 47.49685748]], ""type"": ""LineString""}";1065295;C;CANALISATION;0;NC;4.16;0;33.47
47.49684759500001, -0.4352236;"{""coordinates"": [[-0.43521844, 47.49683771], [-0.43522876, 47.49685748]], ""type"": ""LineString""}";1065296;C;CANALISATION;0;NC;2.33;0;33.47
47.49701415, -0.43524508;"{""coordinates"": [[-0.43522876, 47.49685748], [-0.4352614, 47.49717082]], ""type"": ""LineString""}";1065297;C;CANALISATION;300;NC;34.92;32.17;31.87
47.49722165000001, -0.43479034499999997;"{""coordinates"": [[-0.43479173, 47.4972461], [-0.43478896, 47.4971972]], ""type"": ""LineString""}";1065298;C;CANALISATION;400;NC;5.44;0;32.04
47.49728111, -0.434407525;"{""coordinates"": [[-0.43440908, 47.49730519], [-0.43440597, 47.49725703]], ""type"": ""LineString""}";1065299;C;CANALISATION;500;NC;5.36;0;32.18
47.497085905, -0.434089795;"{""coordinates"": [[-0.43430428, 47.49721719], [-0.43387531, 47.49695462]], ""type"": ""LineString""}";1065300;C;CANALISATION;300;NC;43.55;32.57;32.13
47.49732836, -0.43391895999999996;"{""coordinates"": [[-0.43388815, 47.49733166], [-0.43394977, 47.49732506]], ""type"": ""LineString""}";1065301;C;CANALISATION;300;NC;4.7;0;32.74
47.49684508, -0.43334411999999994;"{""coordinates"": [[-0.43326975, 47.49686602], [-0.43341849, 47.49682414]], ""type"": ""LineString""}";1065302;C;CANALISATION;400;NC;12.13;0;32.3
47.49726646, -0.4331117949999999;"{""coordinates"": [[-0.43329475, 47.49726053], [-0.43292884, 47.49727239]], ""type"": ""LineString""}";1065303;C;CANALISATION;300;NC;27.61;33.44;0
47.496949295, -0.43158507;"{""coordinates"": [[-0.43152335, 47.49689783], [-0.43164679, 47.49700076]], ""type"": ""LineString""}";1065305;C;CANALISATION;400;NC;14.75;33.32;33.11
47.498373565, -0.43431901500000003;"{""coordinates"": [[-0.43424822, 47.4984734], [-0.43438981, 47.49827373]], ""type"": ""LineString""}";1065306;C;CANALISATION;400;NC;24.63;32.92;32.79
47.49602544, -0.423573055;"{""coordinates"": [[-0.42375531, 47.49604169], [-0.4233908, 47.49600919]], ""type"": ""LineString""}";1065307;C;CANALISATION;300;NC;27.7;35.03;34.96
47.495534230000004, -0.422638195;"{""coordinates"": [[-0.42263022, 47.49554959], [-0.42264617, 47.49551887]], ""type"": ""LineString""}";1065327;C;CANALISATION;0;NC;3.62;0;33.75
47.49529282999999, -0.422435175;"{""coordinates"": [[-0.42241309, 47.49538604], [-0.42245726, 47.49519962]], ""type"": ""LineString""}";1065328;C;CANALISATION;0;NC;20.43;34.05;0
47.49458688, -0.42269798000000003;"{""coordinates"": [[-0.42278841, 47.4946244], [-0.42260755, 47.49454936]], ""type"": ""LineString""}";1065329;C;CANALISATION;800;BETON;15.98;32.8;32.757
47.494082075, -0.42244058;"{""coordinates"": [[-0.4224333, 47.4940804], [-0.42244786, 47.49408375]], ""type"": ""LineString""}";1065330;C;CANALISATION;0;NC;1.16;0;0
47.495492575, -0.436207425;"{""coordinates"": [[-0.43594567, 47.4955104], [-0.43646918, 47.49547475]], ""type"": ""LineString""}";1065331;C;CANALISATION;800;BETON;39.6;30.481;0
47.495460495, -0.436627475;"{""coordinates"": [[-0.43646918, 47.49547475], [-0.43678577, 47.49544624]], ""type"": ""LineString""}";1065332;C;CANALISATION;800;BA;24.06;0;0
47.494868409999995, -0.43928106499999997;"{""coordinates"": [[-0.43925774, 47.49489801], [-0.43930439, 47.49483881]], ""type"": ""LineString""}";1065334;C;CANALISATION;300;BA;6.65;0;30.42
47.494764785, -0.439958305;"{""coordinates"": [[-0.43996486, 47.49481573], [-0.43995175, 47.49471384]], ""type"": ""LineString""}";1065335;C;CANALISATION;0;NC;11.37;0;0
47.49843862, -0.42710315;"{""coordinates"": [[-0.4272662, 47.49829522], [-0.4269401, 47.49858202]], ""type"": ""LineString""}";1065336;C;CANALISATION;400;NC;40.25;0;35.03
47.49780495, -0.429647475;"{""coordinates"": [[-0.42946072, 47.4979401], [-0.42983423, 47.4976698]], ""type"": ""LineString""}";1065337;C;CANALISATION;400;NC;41.17;35.54;0
47.49805178, -0.42932890500000004;"{""coordinates"": [[-0.42919709, 47.49816346], [-0.42946072, 47.4979401]], ""type"": ""LineString""}";1065338;C;CANALISATION;400;NC;31.79;35.7;35.54
47.497656805, -0.42976989;"{""coordinates"": [[-0.42976132, 47.4976517], [-0.42977846, 47.49766191]], ""type"": ""LineString""}";1065339;C;CANALISATION;0;NC;1.72;0;36.06
47.49856849, -0.42911193999999997;"{""coordinates"": [[-0.4291408, 47.49855453], [-0.42908308, 47.49858245]], ""type"": ""LineString""}";1065340;C;CANALISATION;300;NC;5.34;0;35.81
47.49846401, -0.4288691049999999;"{""coordinates"": [[-0.42885193, 47.4984737], [-0.42888628, 47.49845432]], ""type"": ""LineString""}";1065341;C;CANALISATION;0;NC;3.37;0;35.74
47.498348495, -0.42872659;"{""coordinates"": [[-0.42888628, 47.49845432], [-0.4285669, 47.49824267]], ""type"": ""LineString""}";1065342;C;CANALISATION;400;NC;33.66;35.74;0
47.496719705000004, -0.425782115;"{""coordinates"": [[-0.42575247, 47.49674201], [-0.42581176, 47.4966974]], ""type"": ""LineString""}";1065343;C;CANALISATION;0;NC;6.68;0;0
47.497564815000004, -0.4269354450000001;"{""coordinates"": [[-0.42696356, 47.49749308], [-0.42690733, 47.49763655]], ""type"": ""LineString""}";1065344;C;CANALISATION;0;NC;16.45;0;35.68
